car_name,manufacturing_year,milage,ownership,engine cc,fuel_type,"car_price (JPY 10,000)",auction_house
Subaru BRZ,05-Aug-08,25697 kms,1st owner,2500,Gasoline,36.8,GAO! Nagoya
Suzuki Swift,03-Mar-08,82664 kms,2nd owner,2000,Hybrid,46.8,USS Tokyo
Mazda Axela,28-Jan-01,201409 kms,3rd owner,1500,Hybrid,56.8,USS Tokyo
Suzuki Alto,08-Oct-12,144029 kms,1st owner,4500,Electric,6.8,SAA Sapporo
Mazda RX-7,13-Sep-90,187183 kms,1st owner,2500,Hybrid,76.8,HAA Kobe
Subaru Impreza,09-Feb-19,104692 kms,3rd owner,1500,Gasoline,6.8,USS Tokyo
Honda Odyssey,18-Jan-91,281827 kms,2nd owner,4000,Electric,16.8,SAA Sapporo
Nissan X-Trail,13-Sep-21,12555 kms,3rd owner,4000,Diesel,6.8,GAO! Nagoya
Subaru Impreza,10-Oct-07,160446 kms,1st owner,1500,CNG,6.8,TAA Nagoya
Mazda CX-5,03-Oct-04,293591 kms,3rd owner,2500,Gasoline,36.8,Honda Auto Auction Fukuoka
Suzuki Swift,02-Jun-21,279524 kms,2nd owner,1500,Electric,16.8,HERO Saitama
Subaru Legacy,28-Nov-15,57497 kms,2nd owner,4000,CNG,6.8,KCAA Kyushu
Lexus RX,08-Oct-16,214534 kms,2nd owner,4000,Diesel,16.8,GAO! Nagoya
Honda CR-V,03-Aug-94,70159 kms,3rd owner,3500,Hybrid,46.8,JU Kanagawa
Mazda Demio,10-Oct-19,9809 kms,3rd owner,2500,Diesel,26.8,IMA East
Honda Accord,18-Apr-08,195821 kms,3rd owner,2000,CNG,16.8,CAA Chubu
Daihatsu Mira,26-Jul-22,147920 kms,3rd owner,4000,Hybrid,56.8,KCAA Kyushu
Suzuki Jimny,05-Nov-19,57660 kms,2nd owner,1500,Electric,16.8,USS Tokyo
Mitsubishi Mirage,31-Mar-94,220654 kms,3rd owner,4000,Diesel,6.8,SMAP Tokyo
Honda Accord,19-Jan-96,192447 kms,4th owner,3000,Gasoline,36.8,HERO Saitama
Mitsubishi Mirage,10-Jun-03,121267 kms,4th owner,2000,Electric,16.8,CAA Chubu
Suzuki Jimny,14-Aug-14,38084 kms,1st owner,3000,Hybrid,66.8,TAA Nagoya
Daihatsu Move,26-Oct-10,160916 kms,1st owner,1500,Hybrid,56.8,HERO Saitama
Subaru BRZ,09-Sep-15,229222 kms,2nd owner,3500,Hybrid,56.8,JU Kanagawa
Daihatsu Hijet,15-May-01,207896 kms,4th owner,1500,Gasoline,16.8,HAA Kobe
Nissan Skyline,08-Nov-22,236651 kms,4th owner,1500,Electric,6.8,LAA Kansai
Honda Odyssey,03-Apr-08,228632 kms,1st owner,2500,Electric,26.8,NTAA Tokyo
Toyota Corolla,11-Apr-22,26664 kms,4th owner,3000,Gasoline,36.8,SAA Sapporo
Toyota Land Cruiser,07-Jun-20,297930 kms,1st owner,4500,CNG,6.8,GNN Osaka
Mazda Axela,07-Jan-97,292874 kms,4th owner,2000,Electric,6.8,CAA Chubu
Lexus ES,27-Sep-90,55359 kms,1st owner,3000,Gasoline,36.8,KCAA Kyushu
Lexus RX,15-Oct-18,275830 kms,4th owner,1500,Gasoline,6.8,HAA Kobe
Suzuki Alto,20-Sep-97,39978 kms,4th owner,4000,Gasoline,16.8,HAA Kobe
Nissan Note,26-Jun-12,41051 kms,3rd owner,2500,Hybrid,66.8,NTAA Tokyo
Subaru Outback,25-Nov-07,73246 kms,2nd owner,3000,Gasoline,26.8,CAA Chubu
Mitsubishi Lancer,25-Jun-14,243063 kms,3rd owner,2000,CNG,16.8,NAA Osaka
Lexus GX,17-Nov-08,221917 kms,3rd owner,2500,Diesel,36.8,RAA Ryutsu
Daihatsu Hijet,04-Feb-08,240575 kms,3rd owner,4000,Hybrid,56.8,NAA Osaka
Daihatsu Mira,23-Oct-92,254086 kms,1st owner,2000,CNG,16.8,HERO Saitama
Lexus IS,25-May-92,167456 kms,3rd owner,3500,Hybrid,56.8,RAA Ryutsu
Lexus GX,08-May-21,7007 kms,4th owner,3000,Electric,26.8,NAA Osaka
Suzuki Alto,25-Mar-22,143443 kms,4th owner,2500,Hybrid,66.8,GNN Osaka
Nissan Patrol,01-Dec-08,96323 kms,2nd owner,3500,Gasoline,16.8,HAA Kobe
Nissan GTR,05-Aug-92,140243 kms,1st owner,2500,Hybrid,66.8,GAO! Nagoya
Toyota Corolla,02-Apr-07,129985 kms,1st owner,1500,Gasoline,6.8,KCAA Kyushu
Mitsubishi Mirage,23-Sep-98,167967 kms,2nd owner,2000,Hybrid,56.8,HAA Kobe
Nissan Patrol,09-Jul-02,240899 kms,4th owner,2500,CNG,36.8,HAA Kobe
Mitsubishi Mirage,21-Nov-20,29177 kms,4th owner,4000,Hybrid,46.8,NTAA Tokyo
Suzuki Alto,14-Jun-12,259860 kms,4th owner,2500,Electric,36.8,GNN Osaka
Lexus IS,01-Jan-90,193050 kms,2nd owner,3500,Gasoline,6.8,HAA Kobe
Mitsubishi Lancer,16-Dec-00,183252 kms,4th owner,3500,Diesel,6.8,GAO! Nagoya
Nissan Patrol,06-Mar-19,44971 kms,3rd owner,1500,CNG,16.8,USS Tokyo
Suzuki Vitara,13-Jul-97,190545 kms,1st owner,4000,Hybrid,46.8,NTAA Tokyo
Daihatsu Hijet,05-Apr-05,26051 kms,3rd owner,2000,Diesel,6.8,ONAA Osaka
Suzuki Jimny,27-Aug-90,134721 kms,4th owner,2000,Electric,6.8,SAA Sapporo
Subaru Impreza,27-Jul-21,289322 kms,4th owner,4000,Diesel,6.8,NAA Osaka
Subaru Impreza,15-Jun-91,109749 kms,4th owner,2000,CNG,6.8,HAA Kobe
Mitsubishi Lancer,25-Feb-22,42160 kms,1st owner,2000,Gasoline,6.8,GAO! Nagoya
Honda CR-V,15-Dec-97,229964 kms,1st owner,2000,Diesel,6.8,IMA East
Nissan GTR,19-Apr-13,199131 kms,3rd owner,2000,Hybrid,46.8,GNN Osaka
Subaru Legacy,24-Apr-17,299840 kms,1st owner,4000,Electric,16.8,NTAA Tokyo
Nissan GTR,18-Sep-94,130971 kms,4th owner,3500,Electric,6.8,HAA Kobe
Honda Accord,19-Jul-13,240088 kms,4th owner,2500,Diesel,26.8,NTAA Tokyo
Suzuki Jimny,25-Mar-92,214324 kms,2nd owner,4000,Diesel,16.8,RAA Ryutsu
Lexus RX,10-Jan-14,91004 kms,4th owner,3500,CNG,16.8,IMA East
Toyota Land Cruiser,05-Apr-10,233474 kms,1st owner,4000,Electric,16.8,NTAA Tokyo
Subaru Legacy,26-Aug-91,163091 kms,2nd owner,2000,CNG,6.8,TAA Nagoya
Daihatsu Hijet,29-Jan-90,268235 kms,1st owner,2000,Hybrid,56.8,IMA East
Mazda RX-7,17-Jan-08,248326 kms,1st owner,3000,Gasoline,26.8,KIX Kansai
Toyota Crown,07-Mar-11,72635 kms,2nd owner,4000,Gasoline,6.8,CAA Chubu
Daihatsu Mira,21-Jul-05,260220 kms,2nd owner,1500,Diesel,6.8,KCAA Kyushu
Toyota Land Cruiser,19-Oct-19,60485 kms,2nd owner,3500,Hybrid,46.8,KCAA Kyushu
Toyota Vitz,03-Aug-22,182425 kms,3rd owner,2000,Electric,16.8,HAA Kobe
Subaru Outback,09-Nov-91,126543 kms,2nd owner,2500,CNG,26.8,CAA Chubu
Honda Odyssey,06-Dec-92,126942 kms,2nd owner,2500,CNG,36.8,HERO Saitama
Suzuki Swift,14-Oct-94,81762 kms,1st owner,4000,Gasoline,6.8,KIX Kansai
Honda Civic,16-Sep-03,14252 kms,2nd owner,1500,Electric,16.8,JU Kanagawa
Lexus IS,31-May-13,116002 kms,3rd owner,2000,Gasoline,6.8,KCAA Kyushu
Mazda CX-5,07-Apr-09,135503 kms,1st owner,2000,Gasoline,6.8,TAA Nagoya
Mitsubishi Mirage,11-Apr-10,101594 kms,4th owner,3500,Diesel,16.8,KCAA Kyushu
Toyota Corolla,04-Feb-90,107548 kms,1st owner,2000,Electric,16.8,LAA Kansai
Suzuki Alto,27-Jun-10,22198 kms,2nd owner,3000,Gasoline,36.8,HAA Kobe
Nissan Altima,23-Sep-05,47084 kms,4th owner,2000,Diesel,6.8,IMA East
Mitsubishi Mirage,20-Sep-11,264436 kms,4th owner,4000,Hybrid,56.8,ONAA Osaka
Mazda Axela,12-Mar-01,165296 kms,3rd owner,1500,Electric,6.8,TAA Nagoya
Suzuki Jimny,17-Jun-98,51795 kms,2nd owner,3000,Gasoline,36.8,SMAP Tokyo
Subaru Outback,12-Nov-14,220191 kms,1st owner,3500,Hybrid,56.8,LAA Kansai
Daihatsu Hijet,02-Aug-08,189135 kms,1st owner,4000,Electric,16.8,GAO! Nagoya
Subaru Outback,11-Feb-94,53188 kms,2nd owner,2500,Gasoline,36.8,LAA Kansai
Mazda Demio,24-Nov-16,163352 kms,2nd owner,660,Gasoline,6.8,Honda Auto Auction Fukuoka
Honda Civic,02-May-95,221613 kms,1st owner,4000,CNG,6.8,LAA Kansai
Subaru Impreza,28-Mar-12,226295 kms,1st owner,1500,CNG,6.8,USS Tokyo
Daihatsu Move,05-Jun-09,233665 kms,4th owner,660,Hybrid,56.8,TAA Nagoya
Lexus ES,29-Jul-03,26385 kms,1st owner,3500,Gasoline,6.8,ONAA Osaka
Mazda RX-7,26-Aug-00,166074 kms,4th owner,1500,Hybrid,46.8,NTAA Tokyo
Lexus GX,14-Jun-99,269646 kms,2nd owner,4000,Diesel,6.8,KCAA Kyushu
Mazda RX-7,16-Jan-02,114890 kms,4th owner,4000,CNG,6.8,GAO! Nagoya
Daihatsu Move,29-Oct-14,77407 kms,1st owner,3500,Electric,6.8,USS Tokyo
Suzuki Vitara,25-May-21,109070 kms,4th owner,1500,Electric,16.8,JU Kanagawa
Mazda RX-7,09-Jan-93,21922 kms,3rd owner,2000,Electric,6.8,SAA Sapporo
Honda Accord,19-Jan-95,73411 kms,1st owner,3000,Electric,36.8,IMA East
Suzuki Alto,23-Mar-21,289421 kms,2nd owner,2000,CNG,16.8,GNN Osaka
Nissan Patrol,01-Jul-15,231950 kms,2nd owner,4500,Electric,6.8,IMA East
Nissan Altima,09-Oct-06,166826 kms,1st owner,2500,Electric,26.8,HERO Saitama
Daihatsu Hijet,02-Dec-06,130262 kms,2nd owner,660,CNG,16.8,ONAA Osaka
Suzuki Swift,08-Jan-10,79463 kms,2nd owner,1500,Hybrid,56.8,TAA Nagoya
Daihatsu Hijet,08-Jan-05,53277 kms,2nd owner,2000,Gasoline,16.8,TAA Nagoya
Daihatsu Hijet,19-Jun-20,256302 kms,2nd owner,4500,Electric,16.8,GNN Osaka
Mazda Axela,20-Jul-91,256793 kms,1st owner,2500,CNG,36.8,TAA Nagoya
Mazda RX-7,24-Aug-11,199752 kms,2nd owner,4500,CNG,6.8,SMAP Tokyo
Mazda Demio,09-Jun-10,78743 kms,1st owner,4500,Hybrid,46.8,JU Kanagawa
Toyota Land Cruiser,21-Jul-09,280891 kms,4th owner,2000,Hybrid,56.8,Honda Auto Auction Fukuoka
Toyota Prius,13-Aug-98,292632 kms,4th owner,2500,Electric,36.8,Honda Auto Auction Fukuoka
Honda CR-V,07-Jan-15,254480 kms,3rd owner,4000,Electric,6.8,GAO! Nagoya
Suzuki Swift,12-Apr-96,34299 kms,4th owner,2500,Diesel,36.8,ONAA Osaka
Toyota Vitz,15-Mar-95,93513 kms,2nd owner,2500,Diesel,36.8,JU Kanagawa
Nissan Patrol,24-Apr-08,287907 kms,1st owner,4500,Gasoline,6.8,ONAA Osaka
Daihatsu Mira,20-Sep-13,166915 kms,4th owner,3000,CNG,36.8,KIX Kansai
Suzuki Jimny,02-Mar-11,23099 kms,1st owner,3000,CNG,26.8,KCAA Kyushu
Subaru Legacy,24-Feb-07,103318 kms,3rd owner,1500,CNG,16.8,KCAA Kyushu
Mazda Demio,03-May-99,297926 kms,4th owner,3500,Electric,16.8,ONAA Osaka
Suzuki Jimny,02-Nov-94,233093 kms,3rd owner,1500,Hybrid,56.8,Honda Auto Auction Fukuoka
Mitsubishi Mirage,23-Sep-09,90150 kms,3rd owner,3000,Hybrid,66.8,LAA Kansai
Honda Civic,27-Sep-91,274744 kms,3rd owner,2000,Hybrid,56.8,NAA Osaka
Suzuki Alto,13-Nov-14,158484 kms,4th owner,3500,Hybrid,56.8,HAA Kobe
Mazda Axela,03-Oct-14,20776 kms,4th owner,1500,Electric,6.8,SAA Sapporo
Mitsubishi Pajero,14-May-11,156994 kms,2nd owner,2000,CNG,16.8,SMAP Tokyo
Subaru Legacy,23-Jun-16,7649 kms,2nd owner,3500,Gasoline,6.8,USS Tokyo
Mazda RX-7,26-Jun-22,57007 kms,3rd owner,2000,CNG,16.8,HAA Kobe
Nissan Patrol,07-Oct-07,63298 kms,4th owner,1500,Diesel,16.8,SAA Sapporo
Honda Accord,28-May-98,150242 kms,2nd owner,3500,CNG,6.8,HAA Kobe
Suzuki Alto,11-May-01,103176 kms,4th owner,1500,CNG,16.8,NTAA Tokyo
Subaru Impreza,10-Jun-16,98849 kms,1st owner,1500,Diesel,6.8,RAA Ryutsu
Subaru Outback,23-Jun-91,89785 kms,2nd owner,2500,CNG,36.8,LAA Kansai
Subaru Impreza,09-Apr-05,227193 kms,4th owner,4000,Diesel,6.8,HERO Saitama
Toyota Prius,27-May-19,205448 kms,2nd owner,2500,Diesel,36.8,NAA Osaka
Honda CR-V,02-Jan-95,85518 kms,3rd owner,1500,Gasoline,6.8,GAO! Nagoya
Subaru Legacy,08-Mar-13,10748 kms,4th owner,2000,Hybrid,46.8,GAO! Nagoya
Subaru Legacy,07-Jan-98,228624 kms,1st owner,1500,Electric,16.8,TAA Nagoya
Honda Accord,18-Jun-99,114053 kms,2nd owner,3000,Hybrid,76.8,JU Kanagawa
Lexus GX,06-Nov-00,282517 kms,1st owner,2500,Electric,26.8,USS Tokyo
Mazda RX-7,02-Jul-99,35958 kms,4th owner,4000,Gasoline,6.8,Honda Auto Auction Fukuoka
Daihatsu Move,30-Mar-21,71490 kms,2nd owner,3000,Diesel,26.8,ONAA Osaka
Mitsubishi Pajero,22-May-90,103299 kms,2nd owner,3500,Electric,6.8,TAA Nagoya
Suzuki Swift,29-Jul-99,187910 kms,4th owner,4000,Electric,6.8,JU Kanagawa
Nissan X-Trail,16-Nov-97,75490 kms,2nd owner,3000,Diesel,26.8,NAA Osaka
Mitsubishi Pajero,13-Jul-99,261168 kms,4th owner,3000,Electric,26.8,ONAA Osaka
Daihatsu Tanto,11-Jan-10,218830 kms,2nd owner,4000,Diesel,16.8,NTAA Tokyo
Toyota Camry,08-Sep-90,90166 kms,2nd owner,2500,Hybrid,66.8,USS Tokyo
Lexus RX,28-May-08,143732 kms,1st owner,4000,Diesel,6.8,RAA Ryutsu
Mitsubishi Pajero,18-Dec-22,12898 kms,3rd owner,4000,Hybrid,56.8,NAA Osaka
Daihatsu Mira,07-Nov-10,179861 kms,2nd owner,4500,Diesel,6.8,GAO! Nagoya
Nissan Altima,06-Jul-93,163386 kms,4th owner,4500,Gasoline,6.8,HERO Saitama
Honda Odyssey,06-Dec-21,33107 kms,3rd owner,1500,CNG,16.8,CAA Chubu
Daihatsu Move,12-Nov-04,28419 kms,3rd owner,2500,Electric,36.8,IMA East
Suzuki Swift,11-Dec-20,37970 kms,4th owner,3500,Gasoline,6.8,HAA Kobe
Mitsubishi Mirage,30-Aug-11,47701 kms,3rd owner,3500,CNG,6.8,SAA Sapporo
Toyota Land Cruiser,27-Nov-04,269401 kms,4th owner,2500,Gasoline,26.8,GAO! Nagoya
Lexus IS,11-Jun-96,228697 kms,3rd owner,4000,Electric,16.8,NTAA Tokyo
Mitsubishi Lancer,02-Dec-21,191560 kms,4th owner,1500,Hybrid,46.8,RAA Ryutsu
Subaru BRZ,09-Mar-11,253397 kms,2nd owner,2500,Diesel,26.8,ONAA Osaka
Nissan Skyline,03-Aug-12,256569 kms,4th owner,1500,Hybrid,56.8,KIX Kansai
Daihatsu Mira,16-Feb-97,33624 kms,2nd owner,2000,Gasoline,6.8,Honda Auto Auction Fukuoka
Mazda Demio,30-Apr-97,46519 kms,3rd owner,4000,CNG,16.8,RAA Ryutsu
Suzuki Alto,11-Sep-94,17151 kms,1st owner,1500,CNG,16.8,KCAA Kyushu
Toyota Hiace,19-Sep-16,201560 kms,4th owner,1500,CNG,6.8,NAA Osaka
Honda Fit,09-Sep-04,11773 kms,1st owner,3000,CNG,36.8,CAA Chubu
Daihatsu Tanto,24-May-99,141196 kms,3rd owner,4000,CNG,16.8,KIX Kansai
Mitsubishi Pajero,06-Mar-97,118427 kms,3rd owner,2000,Hybrid,46.8,KIX Kansai
Mitsubishi Lancer,31-Oct-13,234057 kms,3rd owner,4500,Diesel,16.8,NAA Osaka
Mazda RX-7,08-Dec-13,222404 kms,3rd owner,2500,Electric,36.8,CAA Chubu
Daihatsu Mira,11-Jun-96,155006 kms,4th owner,4500,Hybrid,56.8,USS Tokyo
Subaru BRZ,01-Aug-07,65972 kms,4th owner,3000,Hybrid,66.8,Honda Auto Auction Fukuoka
Nissan X-Trail,19-Aug-20,292661 kms,4th owner,3500,Hybrid,56.8,IMA East
Nissan GTR,19-Oct-04,186028 kms,2nd owner,4000,Electric,16.8,SAA Sapporo
Mazda CX-5,12-Apr-96,292266 kms,4th owner,3000,Gasoline,26.8,SAA Sapporo
Suzuki Alto,22-Mar-01,41240 kms,1st owner,2000,Electric,6.8,SAA Sapporo
Nissan GTR,29-Nov-07,154115 kms,2nd owner,2000,Electric,16.8,CAA Chubu
Subaru Impreza,21-Feb-04,222570 kms,1st owner,3500,Diesel,6.8,TAA Nagoya
Mazda CX-5,12-Sep-15,93146 kms,4th owner,2500,Diesel,36.8,HERO Saitama
Nissan Altima,21-Sep-10,19904 kms,4th owner,3500,Electric,16.8,KIX Kansai
Nissan Altima,18-Feb-14,99341 kms,4th owner,1500,Diesel,6.8,RAA Ryutsu
Subaru Outback,14-Jun-14,60439 kms,2nd owner,2500,Gasoline,26.8,Honda Auto Auction Fukuoka
Honda Odyssey,15-Oct-00,185633 kms,2nd owner,4500,Electric,16.8,CAA Chubu
Nissan X-Trail,14-Mar-04,289882 kms,1st owner,3500,Hybrid,46.8,NTAA Tokyo
Nissan X-Trail,18-Sep-22,59625 kms,4th owner,4500,Diesel,16.8,HERO Saitama
Mitsubishi Pajero,15-Feb-13,44291 kms,1st owner,2500,Diesel,36.8,LAA Kansai
Mazda Demio,12-Jan-10,237028 kms,4th owner,3500,Hybrid,56.8,SMAP Tokyo
Honda Civic,16-May-10,223009 kms,2nd owner,3500,Hybrid,46.8,HERO Saitama
Subaru Legacy,13-Jan-11,105854 kms,2nd owner,2500,Gasoline,26.8,SMAP Tokyo
Daihatsu Hijet,20-Mar-09,92651 kms,4th owner,1500,CNG,16.8,LAA Kansai
Daihatsu Tanto,21-Dec-13,214925 kms,4th owner,2000,Hybrid,56.8,GNN Osaka
Nissan Note,01-Jul-90,74076 kms,4th owner,1500,Diesel,6.8,SAA Sapporo
Mitsubishi Mirage,13-Nov-21,196279 kms,2nd owner,1500,Diesel,16.8,JU Kanagawa
Subaru Legacy,11-Jul-14,182159 kms,4th owner,1500,CNG,16.8,TAA Nagoya
Toyota Land Cruiser,01-Jan-08,114430 kms,3rd owner,1500,Hybrid,56.8,RAA Ryutsu
Nissan Skyline,14-May-99,87021 kms,1st owner,4000,Hybrid,56.8,ONAA Osaka
Nissan Altima,06-Dec-93,186282 kms,3rd owner,660,Electric,16.8,IMA East
Toyota Hiace,06-Jan-98,48014 kms,3rd owner,2500,Hybrid,66.8,IMA East
Toyota Hiace,26-Jul-00,244068 kms,2nd owner,3500,Gasoline,16.8,SMAP Tokyo
Toyota Land Cruiser,09-Aug-16,55199 kms,4th owner,4000,CNG,16.8,SMAP Tokyo
Mitsubishi Mirage,10-Nov-12,266381 kms,1st owner,3500,Gasoline,6.8,Honda Auto Auction Fukuoka
Nissan Note,27-Mar-95,106695 kms,4th owner,1500,Diesel,16.8,GNN Osaka
Suzuki Vitara,30-Jan-03,143445 kms,2nd owner,3000,CNG,26.8,Honda Auto Auction Fukuoka
